epoch,accuracy,loss,val_accuracy,val_loss
0,0.7452828288078308,0.48271822929382324,0.9069448113441467,0.2425265610218048
1,0.9056351184844971,0.23959662020206451,0.9371619820594788,0.17675341665744781
2,0.927503228187561,0.1907726675271988,0.9481500387191772,0.14316599071025848
3,0.9353740811347961,0.17156173288822174,0.9421409368515015,0.1512509435415268
4,0.9414580464363098,0.15964268147945404,0.957850456237793,0.12039030343294144
5,0.9455423355102539,0.150222048163414,0.958193838596344,0.11921530216932297
6,0.9471803307533264,0.14482778310775757,0.9608550071716309,0.1167890802025795
7,0.9486693739891052,0.14096641540527344,0.954159140586853,0.127797469496727
8,0.9503073692321777,0.13644424080848694,0.9607691764831543,0.11119858175516129
9,0.9522644877433777,0.13446299731731415,0.9590522646903992,0.11194963753223419
